Name;AMER.EXPRESS;AOL TIME WARNER;AT & T;BLACK & DECKER;COLGATE - PALM.;FORD MOTOR;MCDONALDS;PFIZER;TEXAS INSTS.;WAL MART STORES
Week150;0.02393273;-0.106508876;0.022185247;0.06223176;0.046786632;0.011047755;-0.017929635;0.017326733;0.039229672;0.031481481
Week151;-0.008212255;-0.021473008;-0.064026044;0.040852974;-0.019155206;-0.012689461;0.010678608;-0.01017474;-0.113475177;-0.061041293
Week152;-0.005095541;0.02440525;-0.033043478;-0.020056071;-0.053580371;-0.000357015;0.025221541;-0.011173184;0.049290323;-0.005736138
Week153;-0.050362783;-0.101101101;-0.037170264;-0.090669014;0.044973545;-0.0175;-0.000664894;0.018983051;-0.195769798;-0.044230769
Week154;-0.033707865;-0.020044543;0.03362391;-0.031945789;-0.028691983;0.025445293;-0.02827678;-0.021956088;-0.009174312;-0.027364185
Week155;0.033255814;0.011363636;0.071084337;0.1405;0.042571677;0.075859624;0.003081137;-0.047619048;0.074074074;0.068473314
Week156;-0.104208868;-0.087865169;-0.010686164;-0.069487067;-0.085;-0.057660626;-0.070307167;-0.082142857;-0.095402299;-0.07357212
Week157;-0.128140704;-0.09411185;-0.065378056;-0.091166078;-0.071038251;-0.027622378;-0.078193833;-0.074708171;0.202986023;-0.019644723
Week158;0.122766571;0.108240413;0.0243309;-0.062986003;0.062745098;0.024451636;0.054958184;0.121110177;-0.170319514;0.079087615
Week159;-0.016683778;-0.025766871;-0.038004751;0.06473029;0.02398524;-0.004914005;-0.018497546;0.020255064;-0.008593253;-0.001580403
Week160;0.022970504;0.063476071;0.012962963;-0.001558846;-0.041441441;0.02292769;0.034230769;-0.00245098;0.138041734;-0.016620499
Week161;0.09619801;0.181904311;0.065204144;0.070778038;-0.011842105;0.044827586;0.021569357;-0.022113022;0.094781382;0.056338028
Week162;-0.024674115;-0.007815631;-0.043478261;-0.019441069;0.023397375;-0.03630363;-0.016381507;0.067839196;-0.111053852;-0.024
Week163;0.013365155;0.023025651;-0.007177033;-0.025030979;0.038104089;-0.017123288;-0.004441155;-0.005882353;0.10057971;0.036299766
Week164;0.0089496;0.035538006;-0.028313253;0.009913574;0.038495971;-0.009756098;0.000371747;0.035266272;-0.00500395;0.006026365
Week165;0.035480859;0.026120114;0.0266584;0.047319406;0.000862069;-0.03026038;0.059085842;0.023319616;0.053467443;-0.031074504
Week166;0.00541028;0.008547009;-0.040458937;-0.037731315;-0.014814815;-0.069303338;0.079298246;-0.041108132;-0.034924623;0.02183153
Week167;-0.055605381;-0.038504053;0.00377596;-0.00974026;-0.009617066;-0.050682261;-0.015604681;-0.000698975;-0.111689664;-0.021554169
Week168;-0.022792023;-0.009388772;0.019435737;-0.01740227;0.037252825;-0.00862423;-0.012879789;0.020051294;0.154454865;-0.012560386
Week169;-0.033770651;-0.024951644;-0.044895449;-0.038244353;-0.017702128;0.014084507;0.00234192;-0.011428571;-0.200050774;-0.031311155
Week170;0.015841086;0.091053362;0.013522215;0;0.057009184;0.058006536;-0.044058745;0.037456647;-0.035226912;0.019191919
Week171;-0.023019802;-0.053090909;0.029224905;0.045636509;-0.000819672;-0.042084942;-0.033519553;-0.060619568;0.043421053;-0.021407334
Week172;0.000506714;-0.013824885;0.022222222;0.020929045;-0.021657096;0.008867392;-0.022398844;-0.056702254;-0.011349306;-0.015596516
Week173;-0.024563181;-0.025506231;0.295289855;0.029;-0.07965789;0.009188973;-0.002217295;-0.054325956;0.056760204;0.066872428
Week174;-0.013499481;-0.145254745;-0.028904429;0.009475219;0.009475219;0.015043547;0.024814815;0.093882979;-0.011466506;0.045901639
Week175;0.020263158;0.049789621;-0.015842535;0.012755716;-0.023465704;-0.021450858;0.045536682;-0.027716995;0.032356532;0.023418772
Week176;0.068351818;0.046537519;0.010731707;0.006178707;-0.021441774;0.001195695;0.007604563;0.018754689;0.128030751;0.008828829
Week177;-0.038870111;-0.045531915;-0.055019305;-0.034010392;0.010578013;-0.029856688;-0.029502573;0.000245459;-0.103538663;-0.032505805
Week178;-0.041698066;-0.10722247;0;-0.024938875;0.034766355;-0.036930652;0.049840933;0.010797546;0.015204678;-0.045781798
Week179;-0.012057667;0.000749064;-0.020429009;0.030090271;0.011018786;-0.14443971;0.038383838;-0.012381646;-0.021889401;-0.037724898
Week180;-0.046166092;-0.101796407;-0.022419187;-0.040165531;-0.029837413;-0.015936255;-0.026588846;-0.058505408;-0.028563015;-0.043023723
Week181;-0.018636996;-0.025277778;-0.0208;-0.008622876;0.037016575;-0.018218623;0.012658228;0.003916449;-0.105789633;-0.004831933
Week182;-0.007653061;-0.01937874;-0.038671024;-0.0514198;0.016870893;0;-0.048684211;-0.007282185;-0.030169492;-0.024065864
Week183;-0.251642388;-0.149956408;0.023229462;-0.153182309;-0.042438002;-0.201546392;-0.053596127;-0.042703694;-0.240475358;-0.019900498
Week184;0.048091603;0.105982906;0.035437431;-0.07611465;0.057267919;0.069076824;-0.013518451;0.087848933;0.092959043;0.090046347
Week185;0.05171158;0.054095827;0.050802139;0.153395381;-0.031395549;0.041062802;0.071481481;0.031949686;0.138947368;0.042721199
Week186;0.038781163;-0.005571848;0.01221374;0.058278542;0.026892253;0.044083527;0.038714138;-0.018527548;0.140480591;0.038640777
Week187;0.003;-0.118254202;-0.100050277;-0.051680316;-0.001040583;-0.068333333;-0.026955075;0.039741679;-0.092382496;-0.029725182
Week188;0.019275507;0.086287625;-0.106145251;0.018463371;0.022569444;-0.014907573;-0.030437756;0.027472527;0.116428571;0.026974952
Week189;-0.030322791;0.004926108;-0.06;-0.019298246;-0.019354839;-0.009079903;-0.075837743;-0.00627761;-0.062699936;-0.01988743
Week190;0.089441829;0.116727941;0.089095745;0.023553965;-0.00017313;0.024434942;0.003816794;-0.010294806;0.089078498;0.043261868
Week191;0.061419753;0.030178326;0.036630037;0.044567434;0.011255411;0;0.078326996;0.008274232;0.042619868;0.027522936
Week192;-0.025879616;-0.028761651;-0.002944641;-0.020635806;0.003082192;0.021466905;-0.041607898;0.022977726;-0.065223925;-0.015714286
Week193;-0.005373134;-0.029887579;0.040756054;0.012243736;-0.015363605;0.065966141;-0.014348786;-0.003438001;0.031189711;-0.008526851
Week194;0.055222089;-0.01780667;0.026106697;0.104360056;-0.015256588;-0.049288061;0.03098171;-0.003449862;0.044589959;0.017749314
Week195;-0.072810011;-0.042014388;-0.106747788;-0.05501783;0.003873239;-0.068548387;-0.071687183;-0.088391415;-0.106865672;-0.040632866
Week196;0.029141104;-0.015319916;0.105263158;-0.008625337;0.020519116;-0.056895485;0.000390016;0.048101266;-0.114304813;0.054347826
Week197;0.043219076;-0.010677242;0.006722689;0.038064165;-0.000515553;0.032131148;0.042105263;-0.025362319;0.08490566;0.037504444
Week198;0.041428571;-0.026210299;0.037284363;-0.015715034;-0.012723521;0.062897078;0.002244669;-0.016109046;0.067826087;-0.006681514
Week199;0.036213992;-0.00569981;0.013948498;0;-0.03517938;-0.086072923;0.000746547;0.032997481;-0.102605863;-0.01690238
