Week;SmallME-LowBE/ME;SmallME-MedBE/ME;SmallME-HighBE/ME;BigME-LowBE/ME;BigME-MedBE/ME;BigME-HighBE/ME
Week161;-0.09;0.04;0.34;0.38;0.85;0.68
Week162;-1.28;-0.2;-0.14;-2.14;-0.65;0.05
Week163;-0.03;0.62;0.23;0.8;0.04;0.03
Week164;1.09;0.97;0.61;1.15;1.14;0.93
Week165;1.23;1.61;2.03;-2.01;-0.3;0.39
Week166;-1.4;-1.2;-0.18;-2.84;-1.71;-1.58
Week167;-0.13;-0.22;0.14;1.18;0.47;0.82
Week168;2.3;1.48;1.46;2.75;1.67;0.64
Week169;2.55;1.94;1.09;3.11;2.49;1.55
Week170;1;0.89;1.34;2.95;2.35;1.49
Week171;0.75;0.46;0.76;-0.27;-0.12;0.14
Week172;1.36;1.24;0.69;2.01;1.13;0.04
Week173;0.62;0.21;0.7;-2.33;-1.13;-1.51
Week174;-1.95;-1.21;-1.11;-0.96;-1.17;-0.99
Week175;2.62;1.96;1.86;2.89;2.11;0.42
Week176;2.26;1.62;0.96;0.51;1.19;1.75
Week177;0.15;1.04;1.09;-0.49;-0.08;0.17
Week178;1.17;1.13;0.8;1.19;1.21;0.25
Week179;-0.73;-0.57;-0.01;-1.8;-1.66;-2.65
Week180;2.51;2.05;1.72;2.24;1.46;0.59
Week181;3.82;2.64;1.92;3.68;1.94;0.74
